metric,better_is,stage_a,stage_b_v1,stage_b_v2,delta_v2_minus_v1,trend_vs_v1,delta_v2_minus_stage_a,trend_vs_stage_a
energy_per_atom_mae,lower,0.36063316464424133,1.7711408138275146,1.7582813501358032,-0.012859463691711426,improved,1.397648185491562,degraded
formation_energy_per_atom_mae,lower,0.07995843142271042,0.2150147259235382,0.21372807025909424,-0.0012866556644439697,improved,0.13376963883638382,degraded
energy_above_hull_mae,lower,0.06442540138959885,0.12254685908555984,0.12410525232553482,0.0015583932399749756,degraded,0.059679850935935974,degraded
band_gap_mae,lower,0.23080265522003174,0.540165364742279,0.5504846572875977,0.010319292545318604,degraded,0.3196820020675659,degraded
cbm_mae,lower,0.2920956611633301,0.5939987301826477,0.6060177087783813,0.012018978595733643,degraded,0.31392204761505127,degraded
vbm_mae,lower,0.2593720853328705,0.47699928283691406,0.48850592970848083,0.011506646871566772,degraded,0.22913384437561035,degraded
efermi_mae,lower,0.38337263464927673,0.6185570359230042,0.6257385015487671,0.0071814656257629395,degraded,0.24236586689949036,degraded
is_metal_auroc,higher,0.9575256581883087,0.9029001733108046,0.9035055912371919,0.0006054179263872417,improved,-0.05402006695111683,degraded
is_stable_auroc,higher,nan,0.8388653041968408,0.8378415882961578,-0.0010237159006829533,degraded,nan,N/A
bulk_modulus_vrh_mae,lower,nan,8.348682403564453,8.302389144897461,-0.04629325866699219,improved,nan,N/A
shear_modulus_vrh_mae,lower,nan,10.382650375366211,10.22192096710205,-0.16072940826416016,improved,nan,N/A
homogeneous_poisson_mae,lower,nan,0.0423395149409771,0.04232719540596008,-1.231953501701355e-05,improved,nan,N/A
universal_anisotropy_mae,lower,nan,1.8195613622665405,1.8689502477645874,0.049388885498046875,degraded,nan,N/A
