method,branch,run,split,task,task_type,overall_split_loss,task_loss,score_name,score_value,mae,rmse,r2,acc,auroc,n_samples,source
Stage A,stage_a,20260305_210307,train,energy_per_atom,regression,0.1454381825901121,0.08716087097173558,r2,0.9788929224014282,0.184801384806633,1.155160665512085,0.9788929224014282,,,123902,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,formation_energy_per_atom,regression,0.1454381825901121,0.005243670837312529,r2,0.9924898743629456,0.06960029155015945,0.1042088121175766,0.9924898743629456,,,123902,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,energy_above_hull,regression,0.1454381825901121,0.00456931904098394,r2,0.9535954594612122,0.056753113865852356,0.09752045571804047,0.9535954594612122,,,123902,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,band_gap,regression,0.1454381825901121,0.03501977335451191,r2,0.9646161794662476,0.14333708584308624,0.28431445360183716,0.9646161794662476,,,123902,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,cbm,regression,0.1454381825901121,0.03492951992972498,r2,0.9854729771614075,0.18612736463546753,0.27675488591194153,0.9854729771614075,,,71574,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,vbm,regression,0.1454381825901121,0.02957385297621197,r2,0.9887460470199585,0.170108363032341,0.25368109345436096,0.9887460470199585,,,71574,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,efermi,regression,0.1454381825901121,0.12645323891657442,r2,0.9473735094070435,0.3167332410812378,0.6343263983726501,0.9473735094070435,,,123856,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,train,is_metal,classification,0.1454381825901121,0.0911074247204845,acc,0.9639553840938806,,,,0.9639553840938806,0.994995130646411,123902,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,energy_per_atom,regression,0.22256176102377992,0.2437168059752381,r2,0.937314510345459,0.36063316464424133,1.9918893575668335,0.937314510345459,,,15487,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,formation_energy_per_atom,regression,0.22256176102377992,0.00836881628058477,r2,0.9879792928695679,0.07995843142271042,0.13153977692127228,0.9879792928695679,,,15487,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,energy_above_hull,regression,0.22256176102377992,0.0075748570700824025,r2,0.9237242937088013,0.06442540138959885,0.12607532739639282,0.9237242937088013,,,15487,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,band_gap,regression,0.22256176102377992,0.08680182226604792,r2,0.9038417935371399,0.23080265522003174,0.46485739946365356,0.9038417935371399,,,15487,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,cbm,regression,0.22256176102377992,0.08724850502368266,r2,0.9625051617622375,0.2920956611633301,0.44632357358932495,0.9625051617622375,,,8836,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,vbm,regression,0.22256176102377992,0.07082828740150568,r2,0.9722083210945129,0.2593720555305481,0.3980843126773834,0.9722083210945129,,,8836,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,efermi,regression,0.22256176102377992,0.16042175738724632,r2,0.9344721436500549,0.3833726644515991,0.7038925290107727,0.9344721436500549,,,15485,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,val,is_metal,classification,0.22256176102377992,0.33688997959136274,acc,0.8901659456318203,,,,0.8901659456318203,0.9575256498319535,15487,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,energy_per_atom,regression,0.22226693246545354,0.21983122532701285,r2,0.9461311101913452,0.33546969294548035,1.8475874662399292,0.9461311101913452,,,15489,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,formation_energy_per_atom,regression,0.22226693246545354,0.00856940973298742,r2,0.9871681928634644,0.08089624345302582,0.136343851685524,0.9871681928634644,,,15489,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,energy_above_hull,regression,0.22226693246545354,0.007379292499372297,r2,0.9210643768310547,0.06419197469949722,0.1275736391544342,0.9210643768310547,,,15489,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,band_gap,regression,0.22226693246545354,0.09029530845011174,r2,0.9038799405097961,0.23789192736148834,0.4729164242744446,0.9038799405097961,,,15489,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,cbm,regression,0.22226693246545354,0.08924353438302257,r2,0.9607032537460327,0.2959364354610443,0.45267248153686523,0.9607032537460327,,,8928,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,vbm,regression,0.22226693246545354,0.0731905286609527,r2,0.9713103771209717,0.2642629146575928,0.4031386971473694,0.9713103771209717,,,8928,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,efermi,regression,0.22226693246545354,0.16740883048602942,r2,0.9349920749664307,0.3929590582847595,0.7114208936691284,0.9349920749664307,,,15483,reports/gpt_eval_20260305_210307/results.json
Stage A,stage_a,20260305_210307,test,is_metal,classification,0.22226693246545354,0.3289095228319323,acc,0.8934727871392601,,,,0.8934727871392601,0.958124722103697,15489,reports/gpt_eval_20260305_210307/results.json
Stage A PyG,stage_a,20260308_182946,train,energy_per_atom,regression,0.15129613064869482,0.09866026022712862,r2,0.9766378402709961,0.20395824313163757,1.215303659439087,0.9766378402709961,,,123902,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,formation_energy_per_atom,regression,0.15129613064869482,0.005636636570088882,r2,0.9919000864028931,0.07195218652486801,0.10822337120771408,0.9919000864028931,,,123902,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,energy_above_hull,regression,0.15129613064869482,0.004872899583449116,r2,0.9500329494476318,0.05736216902732849,0.10119463503360748,0.9500329494476318,,,123902,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,band_gap,regression,0.15129613064869482,0.03773994535614253,r2,0.961113452911377,0.14944107830524445,0.29805493354797363,0.961113452911377,,,123902,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,cbm,regression,0.15129613064869482,0.037341933373371654,r2,0.9843131303787231,0.19290995597839355,0.2875910699367523,0.9843131303787231,,,71574,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,vbm,regression,0.15129613064869482,0.03220966584466412,r2,0.9876893758773804,0.17804090678691864,0.26532337069511414,0.9876893758773804,,,71574,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,efermi,regression,0.15129613064869482,0.12968462374602927,r2,0.9453822374343872,0.31746381521224976,0.6462157964706421,0.9453822374343872,,,123856,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,train,is_metal,classification,0.15129613064869482,0.10016667259508828,acc,0.9607593097770819,,,,0.9607593097770819,0.993812785879841,123902,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,val,energy_per_atom,regression,0.21980379545173434,0.24047065932812464,r2,0.9405210018157959,0.36173492670059204,1.9402765035629272,0.9405210018157959,,,15487,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,val,formation_energy_per_atom,regression,0.21980379545173434,0.00855576928343041,r2,0.9875566959381104,0.08162558823823929,0.13383181393146515,0.9875566959381104,,,15487,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,val,energy_above_hull,regression,0.21980379545173434,0.007424288114409075,r2,0.9240787029266357,0.06389167904853821,0.1257820725440979,0.9240787029266357,,,15487,reports/gpt_eval_20260308_182946/results.json
Stage A PyG,stage_a,20260308_182946,val,band_gap,regression,0.21980379545173434,0.08289096776997622,r2,0.9085443615913391,0.22575929760932922,0.4533480405807495,0.9085443615913391,,,15487,reports/gpt_eval_20260308_182946/results.json
