split,task,task_type,score_name,stage_a_score,stage_a_loss,stage_a_pyg_score,stage_a_pyg_loss,v1_score,v1_loss,v2_score,v2_loss,v3_score,v3_loss,v4_score,v4_loss,zero_score,zero_loss,stage_c_h1_score,stage_c_h1_loss,stage_c_h2_score,stage_c_h2_loss,stage_c_hybrid_score,stage_c_hybrid_loss,best_method,best_score,n_samples
train,energy_per_atom,regression,r2,0.9788929224014282,0.08716087097173558,0.9766378402709961,0.09866026022712862,0.7220388650894165,1.392639640006893,0.7322711944580078,1.3808741954132249,0.7116159200668335,1.477335896671265,0.7252476215362549,1.3500369459948884,0.9834919571876526,0.06676898505726934,0.7169763445854187,1.4138158533682392,0.7141236066818237,1.436536988312245,0.7125222682952881,1.4366952554369496,zero,0.9834919571876526,123902
train,formation_energy_per_atom,regression,r2,0.9924898743629456,0.005243670837312529,0.9919000864028931,0.005636636570088882,0.9171854257583618,0.0493217842771151,0.9184166789054871,0.0487730050790686,0.917451024055481,0.04949560529898329,0.95255446434021,0.027784535206816015,0.9991857409477234,0.0005003069750332522,0.9302175641059875,0.04138002788015052,0.9255895614624023,0.04429892080688982,0.9254013895988464,0.04429095950018152,zero,0.9991857409477234,123902
train,energy_above_hull,regression,r2,0.9535954594612122,0.00456931904098394,0.9500329494476318,0.004872899583449116,0.590595006942749,0.029187021940318088,0.5945927500724792,0.029040772643916322,0.5842952728271484,0.02970815503541104,0.7539505958557129,0.018520799353251283,0.9947742819786072,0.00047130345334578665,0.6160271167755127,0.027268345454685247,0.6026771068572998,0.028274128736653793,0.6015998721122742,0.028280753151408558,zero,0.9947742819786072,123902
train,band_gap,regression,r2,0.9646161794662476,0.03501977335451191,0.961113452911377,0.03773994535614253,0.6577595472335815,0.2897703278300585,0.6549218893051147,0.2955065974263759,0.6465756893157959,0.2987686179692061,0.7032788991928101,0.2572700728267368,0.9705151915550232,0.026411135405552455,0.6718600988388062,0.2781809619798486,0.663199782371521,0.28888362885708607,0.6552066802978516,0.28854378946030773,zero,0.9705151915550232,123902
train,cbm,regression,r2,0.9854729771614075,0.03492951992972498,0.9843131303787231,0.037341933373371654,0.8677959442138672,0.2765982697926692,0.865025520324707,0.28331803945719575,0.8609169721603394,0.29155839754107254,0.8823447227478027,0.24761783119667427,0.993290901184082,0.01551973035737203,0.8739966154098511,0.2640787760821682,0.8682591319084167,0.2772888870023141,0.8626945614814758,0.28406737924699116,zero,0.993290901184082,71574
train,vbm,regression,r2,0.9887460470199585,0.02957385297621197,0.9876893758773804,0.03220966584466412,0.9161019921302795,0.19797878562917393,0.9144471883773804,0.2015385028527011,0.9128577709197998,0.2066030598971889,0.9267971515655518,0.17425226027589627,0.9957370758056641,0.010728368961444844,0.9219876527786255,0.18698749369723341,0.917526364326477,0.19643249292998016,0.9179085493087769,0.1963810217347667,zero,0.9957370758056641,71574
train,efermi,regression,r2,0.9473735094070435,0.12645323891657442,0.9453822374343872,0.12968462374602927,0.8855406045913696,0.30990727678936064,0.8865851759910583,0.3118353316960188,0.8832463622093201,0.32006708893701835,0.8975132703781128,0.27476136164040593,0.9713701605796814,0.07664506107341901,0.889995276927948,0.2982658633107017,0.8865832686424255,0.30850092434598536,0.8861439228057861,0.30777281927088174,zero,0.9713701605796814,123856
train,is_metal,classification,acc,0.9639553840938806,0.0911074247204845,0.9607593097770819,0.10016667259508828,0.8276299010508305,0.37659344817999263,0.8264757631030976,0.37639189017776176,0.8270326548401156,0.3769872352724581,0.8514390405320333,0.332289703761133,0.9112040160772223,0.21496161713611273,0.8321899565785863,0.36459478498545017,0.8320446804732773,0.36989617861612645,0.8299220351568175,0.3720353735631027,Stage A,0.9639553840938806,123902
train,is_stable,classification,acc,,,,,0.8180416781004343,0.3837708108370386,0.8167261222579135,0.3842807411030675,0.8143452083097932,0.3873610772780345,0.8369679262643056,0.34391753537878894,0.8871688915433165,0.2513359391671355,0.8248050878920438,0.3670687143225682,0.819131248890252,0.3775632349095593,0.8197284951009669,0.3756469103700711,zero,0.8871688915433165,123902
train,volume,regression,r2,,,,,,,,,,,,,0.8378552198410034,82.29138611486655,,,,,,,zero,0.8378552198410034,123890
