task,metric,better_is,stage_a,v1,v2,v3,v4,delta_v4_vs_v3,trend_v4_vs_v3,delta_v4_vs_stage_a,trend_v4_vs_stage_a,v4_run_dir,v4_best_epoch,v4_best_val_loss
energy_per_atom,mae,lower,0.36063316464424133,1.7711408138275146,1.7582813501358032,1.8758457899093628,1.7430006265640259,-0.1328,improved,+1.3824,degraded,artifacts/runs_stageb_v4/energy_per_atom/20260308_081747,30,1.4716288759219192
formation_energy_per_atom,mae,lower,0.07995843142271042,0.2150147259235382,0.21372807025909424,0.21473607420921326,0.15483583509922028,-0.0599,improved,+0.0749,degraded,artifacts/runs_stageb_v4/formation_energy_per_atom/20260308_082806,30,0.030701392105576576
energy_above_hull,mae,lower,0.06442540138959885,0.12254685908555984,0.12410525232553482,0.12198513746261597,0.10073607414960861,-0.0212,improved,+0.0363,degraded,artifacts/runs_stageb_v4/energy_above_hull/20260308_083825,30,0.0207222381903509
band_gap,mae,lower,0.23080265522003174,0.540165364742279,0.5504846572875977,0.5507359504699707,0.4954078197479248,-0.0553,improved,+0.2646,degraded,artifacts/runs_stageb_v4/band_gap/20260308_084843,28,0.2594653444830328
cbm,mae,lower,0.2920956611633301,0.5939987301826477,0.6060177087783813,0.6187639832496643,0.5644794702529907,-0.0543,improved,+0.2724,degraded,artifacts/runs_stageb_v4/cbm/20260308_085901,28,0.2513402414639011
vbm,mae,lower,0.2593720853328705,0.47699928283691406,0.48850592970848083,0.49345770478248596,0.4504035413265228,-0.0431,improved,+0.1910,degraded,artifacts/runs_stageb_v4/vbm/20260308_090919,24,0.177352534722506
efermi,mae,lower,0.38337263464927673,0.6185570359230042,0.6257385015487671,0.6324155926704407,0.5705662965774536,-0.0618,improved,+0.1872,degraded,artifacts/runs_stageb_v4/efermi/20260308_091936,30,0.2747755739376072
is_metal,auroc,higher,0.9575256581883087,0.9029001733108046,0.9035055912371919,0.9055788447171959,0.9202454010799752,+0.0147,improved,-0.0373,degraded,artifacts/runs_stageb_v4/is_metal/20260308_092955,29,0.3493315145250194
is_stable,auroc,higher,,0.8388653041968408,0.8378415882961578,0.8335297735797427,0.866566120135011,+0.0330,improved,N/A,N/A,artifacts/runs_stageb_v4/is_stable/20260308_094013,30,0.36428334877233615
bulk_modulus_vrh,mae,lower,,8.348682403564453,8.302389144897461,8.58546257019043,8.44847583770752,-0.1370,improved,N/A,N/A,artifacts/runs_stageb_v4_retry_elastic/bulk_modulus_vrh/20260308_162533,17,5.883500179002631
shear_modulus_vrh,mae,lower,,10.382650375366211,10.22192096710205,10.674976348876953,10.517019271850586,-0.1580,improved,N/A,N/A,artifacts/runs_stageb_v4_retry_elastic/shear_modulus_vrh/20260308_163553,17,6.2637183853961655
homogeneous_poisson,mae,lower,,0.0423395149409771,0.04232719540596008,0.04414500668644905,0.04185211658477783,-0.0023,improved,N/A,N/A,artifacts/runs_stageb_v4_retry_elastic/homogeneous_poisson/20260308_164612,9,0.002066899923705038
universal_anisotropy,mae,lower,,1.8195613622665405,1.8689502477645874,1.8656775951385498,1.8375552892684937,-0.0281,improved,N/A,N/A,artifacts/runs_stageb_v4_retry_elastic/universal_anisotropy/20260308_165632,28,0.9684834310847582
